cluster,size,top_tokens
0,28,"토마토, 살짝, 먹어도, 아보카도, 올리브유, 유기농, 홈쿡, 올리브오일은, 엑스트라버진올리브오일, 해서, 화이트발사믹, 뿌려서, 두르고, 진한, 아침에, 향과, 올리브오일추천, 냉압착, 몸이, 샐러드에는, 익은, 노릇하게, 골라, 먹으니, 먹어서, 샌드위치가, 깜짝, 풍미"
1,55,"식단, 다이어트식단, 닭가슴살, 집밥, 파스타, 매일, salad, 먹을, 운동하는여자, 다이어터, 건강식, 식단일기, 먹스타그램, 있어요, 다이어트도시락, 즐길, 회사, 일상, 당근, 빵, 먹은, 밀프랩, 주말에, 치킨, 먹으러, 이거, 탄단지, 삶은, 샐러드가, 고구마"
2,59,"좋은, 인스타그램에서, 34회, 인원부터, 매월, 보온도시락샐러드, 진행도시락, 배송탁월한, 결제를, 선택하는, 도시락샐러드, 7001700매일, 다른메뉴기다림, 전용, 아닙니다각각, 보온4시간뒤처리샐러드는, 지원되지않습니다사용, 기본으로하며, 메뉴푸디스퀘어를, 이용가능주, 결제후불결제를, 세트가, 이상의, 연락주세요오늘도, 전문업체, 설명서기업, 이유매일, 보내십시오맛스타, 질문이나, 금요일에"
3,42,"지드림카드, 배달, 여주사랑카드, 여주맛집, 최소주문, 단체, 죠샌드위치샐러드여주점, 0318810107죠샌드위치, 세종로, 여주행사간식, 가능합니다문의주세요, 있습니다단체주문, 해드립니다, 0318810107구성, 맞춰원하시는, 단체간식, 여주점경기, 구성변경, G드림카드, 맞춰일정에, 여주시, 교회간식, 3800원부터, 학원간식, 구성해서, 학교간식, 체육대회간식, 문의환영, 예산에, 구성도"
4,61,"소금, 후추, 샐러드를, 약간, 오일, 드레싱을, 올리브, 루꼴라, 1작은술, 드레싱은, 좋게, 치즈, 그릇에, 미니, 드레싱, 섞어, 올리고, 발사믹, 호두, 접시에, 다진, 바게트, 얇게, 오일을, 가볍게, 볼에, 1개, 양파, 레몬즙, 소스"
5,183,"샐러드, 맛있는, 건강한, 10월, 올리브오일, 야채, 저녁, 건강하고, 샐러드와, 고소한, 좋아요, 홈브런치, 맛있고, 요리, 담백한, 든든한, 카페, 주말, 한번, 계란, 메뉴로, 불고기, 드디어, 샐러드로, 가능, 새로운, 화이트, 유러피안, 홀그레인, 한식"
6,30,"직접, 사과, 아삭한, 신선한, 오픈, 운동, 프리미엄, 식감, 톡톡, 시나노골드, 선물, 저당, 건강하게, 과일, 정기배송, 추가, 비타민, 요거트, 합리적인, 달콤, 완벽한, 물기, 계절, 채소, 가격으로, 선택, 신선함, 재료와, 30000원, 4팩"
7,20,"샌드위치, 샐러드맛집, 샌드위치맛집, 오늘의, 광주, 순천, 곡성, 곡성뚝방마켓, 핸드메이드, 마카롱, 많이달지않은마카롱, 마카롱맛집, 남원, 쫀득한마카롱좋은재료와정성은진리다, 곡성마카롱, 촌스마마화수목금낮12시오픈입니다촌스마마, 목요일, 또띠아에, 미리, 23일"
8,24,"포케, the, 부드러운, but, 포케맛집, SALAD, 알로하포케, 라이프스타일, 따뜻한, 식단관리, 깊은, 향이, 풍미가, 새우, 풍미를, 쉬림프, 전통, 식감이, 샐러드레시피, 식단공유, 들어간, 특별한, 끼를, 채우고"
9,27,"브런치, 아침, 가을, 오후, 소스를, 없이, 감사합니다, 메뉴가, 있도록, 진심으로, 더욱, 해도, 보내고, 따뜻하게, 부드럽고, 식사를, 마음이, 편안한, 메뉴는, 언제나, 연휴, 달달한, 제법, 조만간, 분명, 없지만, 싶을"
