token,freq
샐러드,307
올리브오일,49
소금,48
매일,47
샌드위치,44
만들어,40
드레싱,39
후추,39
도시락,38
치즈,38
건강한,36
시간,36
함께,36
레몬즙,35
식단,34
포케,34
닭가슴살,33
파스타,33
야채,32
토마토,32
다양한,31
만든,31
발사믹,30
사과,30
샐러드는,30
소스,30
샐러드를,28
다이어트,27
배달,27
주문,27
신선한,26
올리브유,26
구운,24
먹기,24
목요일,23
아침,23
하루,23
무화과,22
배송,22
올리브,22
완성,22
저녁,22
루꼴라,21
오이,21
오일,21
점심,21
아보카도,20
오픈,20
좋아하는,20
큰술,20
가볍게,19
복숭아,19
브런치,19
열심히,19
저당,19
고소한,18
샐러드와,18
유러피안,18
재료,18
가을,17
건강하고,17
구성,17
든든한,17
쉬림프,17
주말,17
할인,17
건강,16
당일,16
샐러드에,16
식사,16
치킨,16
한끼,16
따뜻한,15
미니,15
샐러드로,15
소스를,15
알룰로스,15
오후,15
당근,14
부드러운,14
유기농,14
건강하게,13
단백질,13
단호박,13
달콤한,13
마요네즈,13
상큼한,13
생산,13
시나노골드,13
아침에,13
양파,13
계란,12
드레싱은,12
샐러드가,12
식초,12
요리,12
팬에,12
편하게,12
풍미가,12
곁들여,11
냉장고에,11
드레싱을,11
든든하게,11
만들었어요,11
매콤한,11
보내세요,11
부드럽고,11
새우,11
아삭한,11
얇게,11
양배추,11
연어,11
올리브오일은,11
음료,11
타코,11
국내산,10
김치,10
담백한,10
마늘,10
맛집,10
무료배달,10
배달비,10
부라타,10
뿌려,10
뿌려서,10
수요일,10
식감,10
오전,10
접시에,10
정기배송,10
중식,10
지금,10
치아바타,10
포장,10
프리미엄,10
호두,10
화이트,10
간장,9
고기,9
과일,9
그릇에,9
그릭요거트,9
깊은,9
다진마늘,9
달달한,9
동안,9
두부,9
라이스,9
몸이,9
바쁜,9
방울토마토,9
샐러디,9
스파이시,9
아침은,9
완벽한,9
이벤트,9
인스타그램,9
채소,9
치폴레,9
판매,9
하루를,9
홀그레인,9
화이트발사믹,9
활용,9
가득한,8
간식,8
간편하게,8
고구마,8
구워,8
느낌,8
두르고,8
리코타치즈,8
마지막,8
말고,8
버터,8
볶음,8
불고기,8
서비스,8
수비드,8
수제,8
스테이크,8
신메뉴,8
신선하고,8
어울리는,8
운동,8
일요일,8
작은술,8
전통,8
좋고,8
즐거운,8
진심으로,8
집에서,8
참외,8
카페,8
클래스,8
타코샐러드,8
톡톡,8
편안한,8
풍미를,8
한국,8
합리적인,8
회사,8
훈제란,8
간단히,7
감홍사과,7
구성도,7
그럼,7
너무너무,7
넣은,7
노릇하게,7
단맛,7
달콤,7
당도,7
대신,7
되면,7
되었어요,7
들기름,7
따뜻하게,7
레몬,7
마음,7
마지막에,7
맛도,7
메뉴에,7
물기,7
미국,7
발사믹식초,7
배가,7
볼에,7
부드럽게,7
분들,7
불가합니다,7
비타민,7
빵을,7
사실,7
사용,7
샤인머스켓,7
선택,7
소스가,7
슬라이스,7
식단으로,7
안내,7
예산에,7
오일을,7
유럽,7
은은한,7
이유,7
인천,7
